3974201548,NFL $50K Spy [Single Entry],152488993,100,Patrick Mahomes (30330579),Zach Evans (30330798),Jahmyr Gibbs (30330664),Courtland Sutton (30330912),Josh Palmer (30330920),Elijah Moore (30330934),Travis Kelce (30331244),Isiah Pacheco (30330668),Giants (30331474),,QB,Josh Allen (30330580),Josh Allen,30330580,QB,8200,BUF@NE 10/22/2023 01:00PM ET,BUF,20.67666667,20.67666667
3974186060,NFL $250K Power Sweep [$50K to 1st 3 Entry Max],152489030,150,Sam Howell (30330591),Rachaad White (30330684),Roschon Johnson (30330712),Tyler Lockett (30330896),Mike Evans (30330882),Terry McLaurin (30330908),Mark Andrews (30331246),Josh Jacobs (30330648),Seahawks (30331472),,RB,Saquon Barkley (30330646),Saquon Barkley,30330646,RB/FLEX,8100,WAS@NYG 10/22/2023 01:00PM ET,NYG,15.70666667,15.70666667
3974186369,NFL $100K Power Sweep [3 Entry Max],152489031,150,Baker Mayfield (30330593),Brian Robinson (30330670),Rhamondre Stevenson (30330672),Marquise Brown (30330910),Mike Evans (30330882),Amari Cooper (30330894),Dawson Knox (30331284),Keenan Allen (30330874),Browns (30331471),,WR,Amon-Ra St. Brown (30330878),Amon-Ra St. Brown,30330878,WR/FLEX,8000,DET@BAL 10/22/2023 01:00PM ET,DET,17.87,17.87
3974210805,NFL $200K Facemask [3 Entry Max $50K to 1st],152489027,555,Daniel Jones (30330590),Kenneth Walker III (30330656),Jerome Ford (30330682),Michael Pittman (30330888),Zay Flowers (30330902),Wan'Dale Robinson (30330952),Sam LaPorta (30331248),Travis Kelce (30331244),Bears (30331475),,QB,Justin Herbert (30330581),Justin Herbert,30330581,QB,8000,LAC@KC 10/22/2023 04:25PM ET,LAC,19.24333333,19.24333333
3974186368,NFL $100K Power Sweep [3 Entry Max],152489031,150,Daniel Jones (30330590),Isiah Pacheco (30330668),Jahmyr Gibbs (30330664),Stefon Diggs (30330872),Amon-Ra St. Brown (30330878),Elijah Moore (30330934),Darren Waller (30331250),Zach Ertz (30331272),Lions (30331477),,TE,Travis Kelce (30331244),Travis Kelce,30331244,TE/FLEX,8000,LAC@KC 10/22/2023 04:25PM ET,KC,18.78,18.78
3974197535,NFL $100K Pocket Passer [4 Entry Max],152489029,250,Jared Goff (30330585),Najee Harris (30330680),Brian Robinson (30330670),Rondale Moore (30330970),Amon-Ra St. Brown (30330878),Amari Cooper (30330894),Mark Andrews (30331246),Tyler Lockett (30330896),Browns (30331471),,QB,Lamar Jackson (30330582),Lamar Jackson,30330582,QB,7600,DET@BAL 10/22/2023 01:00PM ET,BAL,21.08,21.08
3974186059,NFL $250K Power Sweep [$50K to 1st 3 Entry Max],152489030,150,Sam Howell (30330591),Zach Evans (30330798),Josh Jacobs (30330648),Stefon Diggs (30330872),Terry McLaurin (30330908),Kendrick Bourne (30330928),Travis Kelce (30331244),Jaxon Smith-Njigba (30330940),Chiefs (30331480),,WR,Puka Nacua (30330880),Puka Nacua,30330880,WR/FLEX,7600,PIT@LAR 10/22/2023 04:05PM ET,LAR,16.53666667,16.53666667
3974258121,NFL $40K 1st and 10 [10 Entry Max],152489014,10,Sam Howell (30330591),Kenneth Walker III (30330656),Jerome Ford (30330682),Marquise Brown (30330910),Amari Cooper (30330894),Terry McLaurin (30330908),Sam LaPorta (30331248),Isiah Pacheco (30330668),Bills (30331464),,RB,Josh Jacobs (30330648),Josh Jacobs,30330648,RB/FLEX,7400,LV@CHI 10/22/2023 01:00PM ET,LV,18.26666667,18.26666667
3974195436,NFL $150K Three-Point Stance [5 Entry Max],152581771,33,Daniel Jones (30330590),Zach Evans (30330798),Josh Jacobs (30330648),Courtland Sutton (30330912),Elijah Moore (30330934),Wan'Dale Robinson (30330952),Travis Kelce (30331244),Keenan Allen (30330874),Giants (30331474),,RB,Bijan Robinson (30330650),Bijan Robinson,30330650,RB/FLEX,7300,ATL@TB 10/22/2023 01:00PM ET,ATL,15.43333333,15.43333333
3974201512,NFL $500K Spy [$100K to 1st Single Entry],152489738,100,Jared Goff (30330585),Najee Harris (30330680),Brian Robinson (30330670),Amon-Ra St. Brown (30330878),Zay Flowers (30330902),Kendrick Bourne (30330928),Luke Musgrave (30331270),Stefon Diggs (30330872),Cardinals (30331481),,RB,David Montgomery (30330652),David Montgomery,30330652,RB/FLEX,7200,DET@BAL 10/22/2023 01:00PM ET,DET,0,0
3974210914,NFL $500K Power Sweep [$100K to 1st 3 Entry Max],152446279,150,Baker Mayfield (30330593),Jaylen Warren (30330686),Rachaad White (30330684),Tyler Lockett (30330896),Mike Evans (30330882),Amari Cooper (30330894),Travis Kelce (30331244),Josh Palmer (30330920),Ravens (30331479),,WR,Mike Evans (30330882),Mike Evans,30330882,WR/FLEX,7100,ATL@TB 10/22/2023 01:00PM ET,TB,15.92333333,15.92333333
3974195434,NFL $150K Three-Point Stance [5 Entry Max],152581771,33,Joshua Dobbs (30330594),Kenneth Walker III (30330656),Jerome Ford (30330682),Courtland Sutton (30330912),Stefon Diggs (30330872),Mike Evans (30330882),Zach Ertz (30331272),Christian Watson (30330904),Chiefs (30331480),,RB,Kyren Williams (30330654),Kyren Williams,30330654,RB/FLEX,7100,PIT@LAR 10/22/2023 04:05PM ET,LAR,0,0
3974210913,NFL $500K Power Sweep [$100K to 1st 3 Entry Max],152446279,150,Geno Smith (30330586),Isiah Pacheco (30330668),Josh Jacobs (30330648),Tyler Lockett (30330896),Marquise Brown (30330910),Jaxon Smith-Njigba (30330940),Pat Freiermuth (30331258),Keenan Allen (30330874),Lions (30331477),,QB,Justin Fields (30330583),Justin Fields,30330583,QB,7000,LV@CHI 10/22/2023 01:00PM ET,CHI,0,0
3974195433,NFL $150K Three-Point Stance [5 Entry Max],152581771,33,Patrick Mahomes (30330579),Jahmyr Gibbs (30330664),Roschon Johnson (30330712),Kadarius Toney (30330944),Amari Cooper (30330894),Terry McLaurin (30330908),Sam LaPorta (30331248),Travis Kelce (30331244),Patriots (30331483),,RB,Kenneth Walker III (30330656),Kenneth Walker III,30330656,RB/FLEX,7000,ARI@SEA 10/22/2023 04:05PM ET,SEA,18.02333333,18.02333333
3974263411,NFL $200K Fair Catch [Single Entry],152489042,12,Sam Howell (30330591),Zach Evans (30330798),Jahmyr Gibbs (30330664),Cooper Kupp (30330870),Mike Evans (30330882),Curtis Samuel (30330938),Mark Andrews (30331246),Christian Watson (30330904),Cardinals (30331481),,WR,Chris Godwin (30330884),Chris Godwin,30330884,WR/FLEX,6900,ATL@TB 10/22/2023 01:00PM ET,TB,13.67666667,13.67666667
3974201890,NFL $250K Red Zone [$50K to 1st Single Entry],152489040,50,Patrick Mahomes (30330579),Kenneth Walker III (30330656),Jerome Ford (30330682),Christian Watson (30330904),Zay Flowers (30330902),Elijah Moore (30330934),Dawson Knox (30331284),Travis Kelce (30331244),Giants (30331474),,WR,DK Metcalf (30330886),DK Metcalf,30330886,WR/FLEX,6800,ARI@SEA 10/22/2023 04:05PM ET,SEA,14.40666667,14.40666667
3974195435,NFL $150K Three-Point Stance [5 Entry Max],152581771,33,Jared Goff (30330585),Isiah Pacheco (30330668),Brian Robinson (30330670),Tyler Lockett (30330896),Amon-Ra St. Brown (30330878),Amari Cooper (30330894),Michael Mayer (30331288),Mark Andrews (30331246),Seahawks (30331472),,RB,Aaron Jones (30330658),Aaron Jones,30330658,RB/FLEX,6800,GB@DEN 10/22/2023 04:25PM ET,GB,14.04,14.04
3974201540,NFL $250K Spy [$50K to 1st Single Entry],152488992,100,Joshua Dobbs (30330594),Javonte Williams (30330674),Josh Jacobs (30330648),Stefon Diggs (30330872),Terry McLaurin (30330908),Elijah Moore (30330934),Mark Andrews (30331246),Marquise Brown (30330910),Chiefs (30331480),,WR,Michael Pittman Jr. (30330888),Michael Pittman Jr.,30330888,WR/FLEX,6600,CLE@IND 10/22/2023 01:00PM ET,IND,14.42333333,14.42333333
3974195432,NFL $150K Three-Point Stance [5 Entry Max],152581771,33,Daniel Jones (30330590),Jaylen Warren (30330686),Brian Robinson (30330670),Keenan Allen (30330874),Christian Watson (30330904),Darius Slayton (30330954),Sam LaPorta (30331248),Travis Kelce (30331244),Cardinals (30331481),,WR,DJ Moore (30330890),DJ Moore,30330890,WR/FLEX,6500,LV@CHI 10/22/2023 01:00PM ET,CHI,12.33333333,12.33333333
3974210915,NFL $500K Power Sweep [$100K to 1st 3 Entry Max],152446279,150,Russell Wilson (30330592),Jahmyr Gibbs (30330664),Jerome Ford (30330682),Courtland Sutton (30330912),Stefon Diggs (30330872),Amari Cooper (30330894),Luke Musgrave (30331270),Kenneth Walker III (30330656),Lions (30331477),,RB,Jonathan Taylor (30330660),Jonathan Taylor,30330660,RB/FLEX,6500,CLE@IND 10/22/2023 01:00PM ET,IND,12.73,12.73
3974257975,NFL $75K Blind Side [Single Entry],152489041,27,Sam Howell (30330591),Isiah Pacheco (30330668),Zach Evans (30330798),Michael Pittman (30330888),Elijah Moore (30330934),Curtis Samuel (30330938),Travis Kelce (30331244),Cooper Kupp (30330870),Patriots (30331483),,QB,Matthew Stafford (30330584),Matthew Stafford,30330584,QB,6500,PIT@LAR 10/22/2023 04:05PM ET,LAR,17.85666667,17.85666667
3974197257,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Daniel Jones (30330590),Josh Jacobs (30330648),Rachaad White (30330684),Tyler Lockett (30330896),Mike Evans (30330882),Terry McLaurin (30330908),Darren Waller (30331250),Courtland Sutton (30330912),Seahawks (30331472),,QB,Jared Goff (30330585),Jared Goff,30330585,QB,6400,DET@BAL 10/22/2023 01:00PM ET,DET,16.50333333,16.50333333
3974195817,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Baker Mayfield (30330593),Bijan Robinson (30330650),Roschon Johnson (30330712),Marquise Brown (30330910),Mike Evans (30330882),Amari Cooper (30330894),Michael Mayer (30331288),Keenan Allen (30330874),Giants (30331474),,RB,James Cook (30330662),James Cook,30330662,RB/FLEX,6400,BUF@NE 10/22/2023 01:00PM ET,BUF,12.7,12.7
3974197209,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Russell Wilson (30330592),Kenneth Walker III (30330656),Jerome Ford (30330682),Christian Watson (30330904),Courtland Sutton (30330912),Josh Palmer (30330920),Sam LaPorta (30331248),Travis Kelce (30331244),Commanders (30331469),,RB,Jahmyr Gibbs (30330664),Jahmyr Gibbs,30330664,RB/FLEX,6300,DET@BAL 10/22/2023 01:00PM ET,DET,14.73,14.73
3974197231,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Daniel Jones (30330590),Isiah Pacheco (30330668),Jahmyr Gibbs (30330664),Mike Evans (30330882),Elijah Moore (30330934),Wan'Dale Robinson (30330952),Mark Andrews (30331246),Stefon Diggs (30330872),Cardinals (30331481),,WR,Jakobi Meyers (30330892),Jakobi Meyers,30330892,WR/FLEX,6200,LV@CHI 10/22/2023 01:00PM ET,LV,13.36333333,13.36333333
3974195802,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Jared Goff (30330585),Brian Robinson (30330670),Rhamondre Stevenson (30330672),Amon-Ra St. Brown (30330878),Amari Cooper (30330894),Zay Flowers (30330902),Dawson Knox (30331284),Tyler Lockett (30330896),Commanders (30331469),,RB,Zack Moss (30330666),Zack Moss,30330666,RB/FLEX,6200,CLE@IND 10/22/2023 01:00PM ET,IND,9.723333333,9.723333333
3974197222,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Sam Howell (30330591),Zach Evans (30330798),Josh Jacobs (30330648),Stefon Diggs (30330872),Terry McLaurin (30330908),Kendrick Bourne (30330928),Pat Freiermuth (30331258),Travis Kelce (30331244),Ravens (30331479),,WR,Amari Cooper (30330894),Amari Cooper,30330894,WR/FLEX,6100,CLE@IND 10/22/2023 01:00PM ET,CLE,13.28333333,13.28333333
3974197238,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Joshua Dobbs (30330594),Kenneth Walker III (30330656),Jerome Ford (30330682),Christian Watson (30330904),Courtland Sutton (30330912),Marquise Brown (30330910),Mark Andrews (30331246),Keenan Allen (30330874),Patriots (30331483),,RB,Isiah Pacheco (30330668),Isiah Pacheco,30330668,RB/FLEX,6100,LAC@KC 10/22/2023 04:25PM ET,KC,15.53666667,15.53666667
3974197235,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Patrick Mahomes (30330579),Isiah Pacheco (30330668),Jaylen Warren (30330686),Kadarius Toney (30330944),Mike Evans (30330882),Amari Cooper (30330894),Zach Ertz (30331272),Travis Kelce (30331244),Chiefs (30331480),,QB,Geno Smith (30330586),Geno Smith,30330586,QB,6000,ARI@SEA 10/22/2023 04:05PM ET,SEA,18.57,18.57
3974203593,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Jordan Love (30330588),Najee Harris (30330680),Rhamondre Stevenson (30330672),Christian Watson (30330904),Cooper Kupp (30330870),Elijah Moore (30330934),Sam LaPorta (30331248),Mark Andrews (30331246),Giants (30331474),,WR,Tyler Lockett (30330896),Tyler Lockett,30330896,WR/FLEX,6000,ARI@SEA 10/22/2023 04:05PM ET,SEA,14.19333333,14.19333333
3974195795,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Daniel Jones (30330590),Kenneth Walker III (30330656),Josh Jacobs (30330648),Amari Cooper (30330894),Zay Flowers (30330902),Terry McLaurin (30330908),Darren Waller (30331250),Courtland Sutton (30330912),Ravens (30331479),,WR,Gabe Davis (30330898),Gabe Davis,30330898,WR/FLEX,5900,BUF@NE 10/22/2023 01:00PM ET,BUF,9.98,9.98
3974197245,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Baker Mayfield (30330593),Jahmyr Gibbs (30330664),Jerome Ford (30330682),Keenan Allen (30330874),Mike Evans (30330882),Curtis Samuel (30330938),Dawson Knox (30331284),Travis Kelce (30331244),Lions (30331477),,QB,Kyler Murray (30330587),Kyler Murray,30330587,QB,5900,ARI@SEA 10/22/2023 04:05PM ET,ARI,0,0
3974197261,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Geno Smith (30330586),Aaron Jones (30330658),Zach Evans (30330798),Tyler Lockett (30330896),Marquise Brown (30330910),Stefon Diggs (30330872),Luke Musgrave (30331270),DK Metcalf (30330886),Bears (30331475),,RB,Brian Robinson Jr. (30330670),Brian Robinson Jr.,30330670,RB/FLEX,5800,WAS@NYG 10/22/2023 01:00PM ET,WAS,12.46666667,12.46666667
3974197205,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Sam Howell (30330591),Isiah Pacheco (30330668),Rachaad White (30330684),Josh Palmer (30330920),Amari Cooper (30330894),Jahan Dotson (30330924),Travis Kelce (30331244),Christian Watson (30330904),Bills (30331464),,QB,Jordan Love (30330588),Jordan Love,30330588,QB,5800,GB@DEN 10/22/2023 04:25PM ET,GB,17.59666667,17.59666667
3974197249,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Jared Goff (30330585),Kenneth Walker III (30330656),Roschon Johnson (30330712),Tyler Lockett (30330896),Amon-Ra St. Brown (30330878),Elijah Moore (30330934),Sam LaPorta (30331248),Courtland Sutton (30330912),Seahawks (30331472),,WR,Jerry Jeudy (30330900),Jerry Jeudy,30330900,WR/FLEX,5800,GB@DEN 10/22/2023 04:25PM ET,DEN,11.55666667,11.55666667
3974197263,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Daniel Jones (30330590),Jahmyr Gibbs (30330664),Jerome Ford (30330682),Christian Watson (30330904),Terry McLaurin (30330908),Darius Slayton (30330954),Travis Kelce (30331244),Josh Jacobs (30330648),Lions (30331477),,WR,Zay Flowers (30330902),Zay Flowers,30330902,WR/FLEX,5700,DET@BAL 10/22/2023 01:00PM ET,BAL,14.21666667,14.21666667
3974197256,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Baker Mayfield (30330593),Jaylen Warren (30330686),Rhamondre Stevenson (30330672),Rondale Moore (30330970),Mike Evans (30330882),Amari Cooper (30330894),Mark Andrews (30331246),Keenan Allen (30330874),Giants (30331474),,TE,Mark Andrews (30331246),Mark Andrews,30331246,TE/FLEX,5700,DET@BAL 10/22/2023 01:00PM ET,BAL,13.21333333,13.21333333
3974197250,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Joshua Dobbs (30330594),Isiah Pacheco (30330668),Bijan Robinson (30330650),Mike Evans (30330882),Michael Pittman (30330888),Elijah Moore (30330934),Mark Andrews (30331246),Marquise Brown (30330910),Chiefs (30331480),,QB,Deshaun Watson (30330589),Deshaun Watson,30330589,QB,5700,CLE@IND 10/22/2023 01:00PM ET,CLE,0,0
3974197262,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Patrick Mahomes (30330579),Kenneth Walker III (30330656),Zach Evans (30330798),Romeo Doubs (30330918),Kadarius Toney (30330944),Zay Flowers (30330902),Travis Kelce (30331244),Courtland Sutton (30330912),Giants (30331474),,RB,Rhamondre Stevenson (30330672),Rhamondre Stevenson,30330672,RB/FLEX,5600,BUF@NE 10/22/2023 01:00PM ET,NE,11.92,11.92
3974195798,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Sam Howell (30330591),Josh Jacobs (30330648),Jerome Ford (30330682),Amari Cooper (30330894),Terry McLaurin (30330908),Wan'Dale Robinson (30330952),Sam LaPorta (30331248),Stefon Diggs (30330872),Cardinals (30331481),,QB,Daniel Jones (30330590),Daniel Jones,30330590,QB,5600,WAS@NYG 10/22/2023 01:00PM ET,NYG,16.85,16.85
3974197274,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Baker Mayfield (30330593),Bijan Robinson (30330650),Brian Robinson (30330670),Tyler Lockett (30330896),Mike Evans (30330882),Drake London (30330914),Dawson Knox (30331284),Travis Kelce (30331244),Ravens (30331479),,WR,Christian Watson (30330904),Christian Watson,30330904,WR/FLEX,5600,GB@DEN 10/22/2023 04:25PM ET,GB,12.91666667,12.91666667
3974197248,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Daniel Jones (30330590),Isiah Pacheco (30330668),Jahmyr Gibbs (30330664),Christian Watson (30330904),Courtland Sutton (30330912),Elijah Moore (30330934),Darren Waller (30331250),Keenan Allen (30330874),Browns (30331471),,QB,Sam Howell (30330591),Sam Howell,30330591,QB,5500,WAS@NYG 10/22/2023 01:00PM ET,WAS,17.05666667,17.05666667
3974203572,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Jared Goff (30330585),Kenneth Walker III (30330656),Roschon Johnson (30330712),Amon-Ra St. Brown (30330878),Amari Cooper (30330894),Curtis Samuel (30330938),Mark Andrews (30331246),Marquise Brown (30330910),Bears (30331475),,WR,George Pickens (30330906),George Pickens,30330906,WR/FLEX,5500,PIT@LAR 10/22/2023 04:05PM ET,PIT,11.11333333,11.11333333
3974203577,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Geno Smith (30330586),Brian Robinson (30330670),Jerome Ford (30330682),Tyler Lockett (30330896),Jaxon Smith-Njigba (30330940),Stefon Diggs (30330872),Luke Musgrave (30331270),Travis Kelce (30331244),Bears (30331475),,WR,Terry McLaurin (30330908),Terry McLaurin,30330908,WR/FLEX,5400,WAS@NYG 10/22/2023 01:00PM ET,WAS,13.24,13.24
3974197236,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Sam Howell (30330591),Josh Jacobs (30330648),Rachaad White (30330684),Courtland Sutton (30330912),Mike Evans (30330882),Terry McLaurin (30330908),Sam LaPorta (30331248),Christian Watson (30330904),Browns (30331471),,QB,Russell Wilson (30330592),Russell Wilson,30330592,QB,5400,GB@DEN 10/22/2023 04:25PM ET,DEN,17.21,17.21
3974197243,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Patrick Mahomes (30330579),Isiah Pacheco (30330668),Zach Evans (30330798),Michael Pittman (30330888),Amari Cooper (30330894),Kendrick Bourne (30330928),Travis Kelce (30331244),Rondale Moore (30330970),Giants (30331474),,RB,Javonte Williams (30330674),Javonte Williams,30330674,RB/FLEX,5400,GB@DEN 10/22/2023 04:25PM ET,DEN,10.99666667,10.99666667
3974195789,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Daniel Jones (30330590),Kenneth Walker III (30330656),Jerome Ford (30330682),Michael Pittman (30330888),Zay Flowers (30330902),Elijah Moore (30330934),Darren Waller (30331250),Keenan Allen (30330874),Patriots (30331483),,TE,Sam LaPorta (30331248),Sam LaPorta,30331248,TE/FLEX,5300,DET@BAL 10/22/2023 01:00PM ET,DET,11.87333333,11.87333333
3974195801,NFL $3.25M Fantasy Football Millionaire [$1M to 1st + ToC Semifinal Entry],152446282,20,Joshua Dobbs (30330594),Najee Harris (30330680),Jahmyr Gibbs (30330664),Josh Palmer (30330920),Cooper Kupp (30330870),Marquise Brown (30330910),Mark Andrews (30331246),Christian Watson (30330904),Cardinals (30331481),,QB,Baker Mayfield (30330593),Baker Mayfield,30330593,QB,5300,ATL@TB 10/22/2023 01:00PM ET,TB,16.92666667,16.92666667
